country,bounds_fid_count,population_sum,population_mean,population_median,area_km2_sum,area_km2_mean,area_km2_median
DE,110,28887203.98,262610.95,119509.22,11842.99,107.66,66.71
FR,76,24709969.11,325131.17,121906.94,7777.02,102.33,61.2
ES,111,24690035.58,222432.75,100957.61,5774.42,52.02,35.63
IT,87,21170493.52,243339.01,94759.01,7530.84,86.56,49.45
PL,54,11331325.25,209839.36,90683.2,4100.4,75.93,44.29
NL,51,9107666.26,178581.69,102660.92,3797.86,74.47,55.09
RO,32,6143803.04,191993.84,111495.16,1933.66,60.43,49.85
GR,13,5168028.36,397540.64,94891.97,1078.11,82.93,38.32
BE,16,3923682.9,245230.18,99763.6,1469.59,91.85,62.7
SE,16,3655146.37,228446.65,108307.68,1619.66,101.23,60.85
PT,12,3642846.06,303570.5,95295.46,1213.02,101.08,48.77
CH,20,3359425.53,167971.28,83160.61,1527.05,76.35,53.95
AT,8,2995978.2,374497.27,151752.0,805.52,100.69,61.77
HU,14,2837826.12,202701.87,87574.02,1119.43,79.96,56.21
CZ,16,2702938.64,168933.67,82190.47,1024.21,64.01,39.68
BG,13,2542128.65,195548.36,91397.3,709.91,54.61,35.59
DK,4,1841651.96,460412.99,203547.54,724.56,181.14,107.69
IE,5,1730564.82,346112.96,118204.94,756.51,151.3,75.94
FI,4,1547743.79,386935.95,208591.35,781.48,195.37,133.1
NO,3,1337451.89,445817.3,198644.74,714.46,238.15,146.26
HR,5,1105608.13,221121.63,116764.6,395.39,79.08,58.69
LT,4,919717.04,229929.26,202151.21,317.46,79.36,81.54
SK,7,844876.58,120696.65,73539.47,370.86,52.98,43.18
LV,3,667985.14,222661.71,69151.68,249.97,83.32,37.54
EE,3,566084.46,188694.82,96449.21,216.6,72.2,50.14
CY,3,490697.48,163565.83,181515.55,255.6,85.2,84.37
MT,1,360332.9,360332.9,360332.9,130.96,130.96,130.96
SI,2,352774.2,176387.1,176387.1,156.37,78.18,78.18
LU,1,176781.3,176781.3,176781.3,98.0,98.0,98.0
