country,n_cities,mean_pct_full_15min,median_pct_full_15min,mean_pct_active_life_15min,mean_pct_arts_and_entertainment_15min,mean_pct_attractions_and_activities_15min,mean_pct_business_and_services_15min,mean_pct_eat_and_drink_15min,mean_pct_education_15min,mean_pct_health_and_medical_15min,mean_pct_public_services_15min,mean_pct_religious_15min,mean_pct_retail_15min
ES,11,82.9,81.9,97.9,95.2,97.4,99.8,99.2,96.8,97.2,96.5,88.8,99.4
RO,7,82.7,83.0,97.0,92.8,96.0,100.0,98.4,95.8,98.2,96.9,92.3,99.5
HR,5,82.4,82.5,98.9,92.6,96.9,100.0,99.7,97.3,97.6,98.1,89.6,99.9
IT,62,81.7,82.8,98.1,93.8,93.8,99.9,99.4,96.2,96.9,98.0,91.5,99.6
GR,4,79.9,81.1,98.6,95.3,92.7,99.8,99.5,98.5,95.4,95.9,90.8,99.9
NL,35,79.8,82.1,99.1,93.2,97.8,99.9,98.3,98.1,98.8,98.9,86.3,99.5
HU,9,79.7,80.4,98.2,93.3,97.2,100.0,99.0,97.6,97.6,97.2,87.0,99.9
PL,15,79.6,80.8,98.7,92.1,94.9,100.0,98.8,99.3,99.1,98.5,88.4,99.9
SK,6,79.2,80.0,98.4,95.0,96.8,99.9,99.5,98.4,97.3,97.1,84.7,99.6
CH,17,76.6,77.8,97.7,90.9,94.1,100.0,98.6,97.1,98.3,97.6,85.9,99.2
CY,3,75.3,75.8,99.0,91.7,92.2,100.0,99.4,99.3,98.6,94.3,88.4,99.9
FR,26,75.0,75.7,98.8,94.2,93.9,100.0,98.7,98.1,98.2,98.7,82.6,99.7
AT,6,75.0,76.6,98.2,92.3,92.8,100.0,98.7,95.2,98.5,96.2,88.4,99.4
BE,10,74.9,75.6,98.3,91.6,96.2,100.0,99.3,96.1,98.0,98.6,83.1,99.6
CZ,8,74.5,75.6,99.1,93.7,97.8,99.9,99.4,98.2,97.4,98.2,80.5,99.9
DE,73,74.3,74.2,97.6,92.4,89.6,99.9,98.6,97.1,98.1,97.9,88.2,99.4
SE,7,72.4,71.5,99.0,86.3,96.9,100.0,98.5,98.4,94.9,98.8,86.0,99.2
DK,4,71.9,70.6,98.8,88.7,96.8,100.0,97.6,98.4,98.3,98.7,83.3,99.6
NO,3,70.8,72.6,97.4,89.2,97.2,99.9,94.9,98.4,96.5,95.7,84.4,99.4
PT,8,70.5,77.0,98.4,83.0,91.6,100.0,99.9,97.9,98.0,96.9,88.3,99.8
FI,4,66.9,65.4,98.5,85.0,98.1,100.0,98.6,96.0,93.9,97.6,81.9,99.6
