City,Country,% Cluster 0,% Cluster 1,% Cluster 2,% Cluster 3
Venezia,IT,13.134160090191656,0.16910935738444194,79.93235625704622,6.764374295377677
Barletta,IT,9.644779332615716,0.0,74.83315392895587,15.522066738428416
Iruñerria / Comarca de Pamplona,ES,14.74,0.16,74.35000000000001,10.75
Logroño,ES,12.601500668105665,1.0998047075752904,73.58412992085518,12.714564703463871
Foggia,IT,17.075585873033337,0.0,73.08834855319617,9.836065573770492
Baix Llobregat,ES,14.872364039955604,1.6013952750911684,72.64943713334391,10.876803551609324
Vallès Occidental,ES,15.950000000000001,0.02,69.24,14.790000000000001
Barcelonès,ES,20.384227564612853,0.23881547524279573,68.22692777158626,11.150029188558085
Cerignola,IT,16.913143095188502,0.02082899395959175,68.15246823578421,14.913559675067695
Valladolid,ES,20.95,0.5700000000000001,66.96,11.52
