country,confidence_score_mean,confidence_score_median,confidence_score_std,confidence_score_min,confidence_score_max,bounds_fid_count,n_flagged_categories_mean,population_sum
AT,1.0,1.0,0.0,1.0,1.0,8,0.0,2995978.195
GR,1.0,1.0,0.0,1.0,1.0,13,0.0,5168028.356
SI,1.0,1.0,0.0,1.0,1.0,2,0.0,352774.2
NO,1.0,1.0,0.0,1.0,1.0,3,0.0,1337451.894
NL,1.0,1.0,0.0,1.0,1.0,51,0.0,9107666.257
MT,1.0,1.0,,1.0,1.0,1,0.0,360332.905
LV,1.0,1.0,0.0,1.0,1.0,3,0.0,667985.139
LU,1.0,1.0,,1.0,1.0,1,0.0,176781.296
LT,1.0,1.0,0.0,1.0,1.0,4,0.0,919717.036
BE,1.0,1.0,0.0,1.0,1.0,16,0.0,3923682.897
HR,1.0,1.0,0.0,1.0,1.0,5,0.0,1105608.131
HU,1.0,1.0,0.0,1.0,1.0,14,0.0,2837826.123
CZ,1.0,1.0,0.0,1.0,1.0,16,0.0,2702938.643
EE,1.0,1.0,0.0,1.0,1.0,3,0.0,566084.461
CH,1.0,1.0,0.0,1.0,1.0,20,0.0,3359425.529
CY,1.0,1.0,0.0,1.0,1.0,3,0.0,490697.479
DK,1.0,1.0,0.0,1.0,1.0,4,0.0,1841651.957
SK,1.0,1.0,0.0,1.0,1.0,7,0.0,844876.58
ES,0.999,1.0,0.006,0.934,1.0,111,0.009,24690035.585
IT,0.996,1.0,0.038,0.649,1.0,87,0.011,21170493.523
SE,0.996,1.0,0.017,0.932,1.0,16,0.062,3655146.37
DE,0.991,1.0,0.085,0.109,1.0,110,0.091,28887203.981
PT,0.989,1.0,0.037,0.872,1.0,12,0.083,3642846.057
RO,0.981,1.0,0.109,0.382,1.0,32,0.125,6143803.039
PL,0.978,1.0,0.125,0.109,1.0,54,0.204,11331325.249
FR,0.972,1.0,0.132,0.055,1.0,76,0.237,24709969.108
BG,0.971,1.0,0.106,0.619,1.0,13,0.077,2542128.645
IE,0.887,1.0,0.252,0.436,1.0,5,0.6,1730564.818
FI,0.845,1.0,0.309,0.382,1.0,4,1.0,1547743.786
