column,missing_count,missing_pct
label,5,0.7153075822603719
bounds_fid,0,0.0
area_km2,0,0.0
population,0,0.0
business_and_services_count,455,65.09298998569385
active_life_count,455,65.09298998569385
arts_and_entertainment_count,455,65.09298998569385
public_services_count,455,65.09298998569385
retail_count,455,65.09298998569385
health_and_medical_count,455,65.09298998569385
eat_and_drink_count,455,65.09298998569385
education_count,455,65.09298998569385
attractions_and_activities_count,455,65.09298998569385
religious_count,455,65.09298998569385
accommodation_count,455,65.09298998569385
